"BIBLIOGRAFIA";"AUTOR";"TITULO";"FECHA";"CRITERIO";"BLOQUE";"MEDIO";"SOPORTE";"TEMA";"PAIS";"ZONA";"TIPOLOGIA";"NOTAS";"CONCORDANCIA";"Valida"
"«Pregúntale a tu psicólogo». La Prensa Gráfica. San Salvador: Grupo Dutriz, 2004-07-07.";;"La Prensa Gráfica";2004;"Primera edición";"No ficción";"Escrito";"Prensa";"Ciencias sociales, creencias y pensamiento";"El Salvador";"México y Centroamérica";;;"Su carta está cargada de angustia y sufrimiento, llena de preocupación e incertidumbre, ya que todo el temor que usted siente se sustenta en sospechas. Por supuesto que son dolorosas sospechas que no deberían haberse suscitado. Lo que más destruye, lo que más hace sufrir ante una situación como éstas es la incertidumbre de que hay alguien que le está quitando a su esposo, pero no hay a ciencia cierta una persona a quien poder señalar como posible responsable de que le esté quitando ""lo que es suyo, lo que a usted le pertenece""";"no"
"Copani, María: «Casi la mitad de los usuarios de celulares usa mensajes de texto». Clarín. Buenos Aires: clarin.com, 2004-09-09.";"Copani, María";"Clarín";2004;"Primera edición";"No ficción";"Escrito";"Prensa";"Ciencias y tecnología";"Argentina";"Río de la Plata";;;"¿Qué modalidad de pago eligen?""Hay muchas. Se puede usar tarjeta prepaga, abonos tipo control. Mucha gente que usaba tarjeta, gastaba 30 pesos por mes pero hablando mucho menos que con un abono de 30 pesos. Eso cambió. A medida que la situación se fue liberando, notaron que sin gastar más podían hablar más, y tenían el agregado de los mensajes"", dice Carrier.";"no"
"Prado, Emilio A.: «Del Órbigo a la fama». Diario de León.es. León: diariodeleon.es, 2004-02-10.";"Prado, Emilio A.";"Diario de León.es";2004;"Primera edición";"No ficción";"Escrito";"Prensa";"Artes, cultura y espectáculos";"España";;"Reportaje";;"Como casi todo el que pasa de un medio a otro prefiere la radio: ""Es realmente distinta, encuentro que es más fresca, más espontanea, tiene mas dinamismo. La televisión es más estricta, más rígida, son los tiempos y el cronometro los que mandan, es mas encorsetada se deja poco a la improvisación, todo el poder es del guión"". Se entusiasma cuando habla de su profesión. ""Siempre ha sido mi afición y mi";"no"
"Pérez Crespo, David: «TRIBUNA. ¿Por qué la religión fuera de la escuela?». Diario de León.es. León: diariodeleon.es, 2004-04-25.";"Pérez Crespo, David";"Diario de León.es";2004;"Primera edición";"No ficción";"Escrito";"Prensa";"Ciencias sociales, creencias y pensamiento";"España";;"Opinión";;"Una educación, en definitiva, que ofrezca al alumnado una autonomía suficiente para desenvolverse en la vida, para no ser conformista y luchar por un mundo más pacifico, más justo y más igualitario. Una educación que luche contra los perjuicios y no los perpetúe como la religión hace.";"no"
"Gaitero, Ana: «La herencia romana de León, en jaque». Diario de León.es. León: diariodeleon.es, 2004-05-30.";"Gaitero, Ana";"Diario de León.es";2004;"Primera edición";"No ficción";"Escrito";"Prensa";"Ciencias sociales, creencias y pensamiento";"España";;"Reportaje";;"La opción de ofrecer una planta más es más que dudosa porque la volumetría que tiene el solar está muy por encima de lo que admite el plan especial, gracias a un estudio de detalle anterior al plan ganado judicialmente. Quedan dos alternativas, dinero o una compensación urbanística. Una tercera pero improbable solución, a tenor de la prisa que ha tenido por";"no"
"Santos de la Mota, C.: «Sancho, envenenado en Portugal». Diario de León.es. León: diariodeleon.es, 2004-08-20.";"Santos de la Mota, C.";"Diario de León.es";2004;"Primera edición";"No ficción";"Escrito";"Prensa";"Ciencias sociales, creencias y pensamiento";"España";;"Divulgación";;", sin embargo lecturas recientes nos han insinuado vagamente que podría haber estado dentro de lo que hoy es entidad territorial española, aunque localizado dentro de una franja demasiado extensa, entre los ríos Miño y Duero, relativamente próximo a la frontera portuguesa de hoy y cuya fundación podría datar del año 804 por monjes benedictinos. Ni más sabemos, ni más podemos decir.) Entre sus acompañantes figuran Gonzalo Vermúdez, el Armiger, quien parece que está a la cabeza de todos, un conde gallego o portugués, o gallegoportugués al mismo tiempo con el nombre de Gundisalvus Munneonis, quizá Gonzalo Núñez, y Gonzalo Menéndez. Pero uno de los nobles, seguramente";"no"
"«El sindicato Coag celebra hoy un seminario sobre agricultura y ganadería ecológica en Cacabelos». Diario de León.es. León: diariodeleon.es, 2004-12-10.";;"Diario de León.es";2004;"Primera edición";"No ficción";"Escrito";"Prensa";"Ciencias y tecnología";"España";;"Noticia";;"para abordar las necesidades y demandas de la producción ecológica. El sindicato está convencido de que el nuevo sector tiene grandes expectativas de futuro. ""Confiamos en el sector de la agricultura ecológica como una forma eficaz de producir alimentos de calidad, como alternativa más para el mantenimiento de la población en un medio rural cada vez más despoblado, más envejecido, y más necesitado de alternativas que permitan la creación de riqueza y el asentamiento de población en los núcleos rurales.";"no"
"«Mazda introduce pequeños retoques en el B2500 para revitalizar las ventas de este polivalente 'pick-up' que sirve para el ocio y el negocio. Lleva un motor turbodiésel de 2.5 litros y 109 CV de potencia. CUESTIÓN DE DETALLE (I)». El Periódico. Airbag. Barcelona: Ediciones Primera Plana, S.A – Grupo Zeta, 2004-07-18.";;"El Periódico. Airbag";2004;"Primera edición";"No ficción";"Escrito";"Prensa";"Ciencias y tecnología";"España";;;;"El segmento de los pick-up en España está ganando terreno en los últimos años. De ahí que Mazda no quiera dejar escapar la ocasión para situar el B2500 entre los más vendidos. Para hacerlo más atractivo, ha realizado ligeros retoques estéticos en el interior y en el exterior.";"no"
"Bayly, Jaime: Y de repente, un ángel. Barcelona: Planeta, 2005.";"Bayly, Jaime";"Y de repente, un ángel";2005;"Primera edición";"Ficción";"Escrito";"Libro";"Novela";"Perú";"Andina";"Ficción";;"justicia por el gobierno de los militares. Papá organizó un almuerzo en su casa de campo para celebrar el nombramiento de su amigo. Vinieron muchos políticos, empresarios y militares, además de varios ministros del nuevo gabinete. Yo me aburrí paseando entre las mesas de señores borrachos y señoras chismosas. Me pareció que los que más tomaban y más groserías decían eran los militares y que sus mujeres eran las más feas y peor vestidas. Papá tuvo el buen tino de sentar a su mesa a las mujeres más guapas, que no eran, por supuesto, las de los militares. Yo era pequeño, no tenía mas de trece años, y por";"no"
"Becerra, Ángela: El penúltimo sueño. Barcelona: Planeta, 2005.";"Becerra, Ángela";"El penúltimo sueño";2005;"Primera edición";"Ficción";"Escrito";"Libro";"Novela";"Colombia";"Caribe continental";"Ficción";;"-Piénsalo, papá. Un gimnasio para las que más tienen... y más se aburren. Las mujeres ""objeto"", las que no saben qué hacer con el dinero de sus maridos. -Por un instante, Pere Sardá pensó que no era tan mala idea, y continuó escuchándola en silencio, imaginando cómo sería unir los perfumes con ese centro-. En una";"no"
"Poniatowska, Elena: El tren pasa primero. Madrid: Alfaguara, 2005.";"Poniatowska, Elena";"El tren pasa primero";2005;"Primera edición";"Ficción";"Escrito";"Libro";"Novela";"México";"México y Centroamérica";"Ficción";;"- Sí, pero a partir del momento en que pidió el indulto al presidente de la República, me separé de él. No había razones legales o políticas para hacerlo. Con él salieron seis compañeros y cinco más fueron liberados más tarde.";"no"
"Eliseo Alberto: Esther en alguna parte o El romance de Lino y Larry Po. Madrid: Espasa Calpe, 2005.";"Eliseo Alberto";"Esther en alguna parte o El romance de Lino y Larry Po";2005;"Primera edición";"Ficción";"Escrito";"Libro";"Novela";"Cuba";"Antillas";"Ficción";;"años recaló en un templo de la secta clandestina Testigos de la Luz de Dios, donde le enseñaron que el odio es una forma embrionaria pero inversa del amor (""el mal de un fruto comienza en la raíz""). Ella malentendió el mensaje, de por sí confuso, y concentró su odio en las dos personas que más quería y que más la querían entre cielo y tierra: Ismaelito y yo. De un plumazo, nos borró del mapa de sus afectos. Una mañana de abril de 1996 encontré a mi sobrino dormido en el zaguán de este edificio. Temblaba. Lo traje a vivir a casa. Y lo mandé a la";"no"
"Cueto, Alonso: La hora azul. Barcelona: Anagrama, 2005.";"Cueto, Alonso";"La hora azul";2005;"Primera edición";"Ficción";"Escrito";"Libro";"Novela";"Perú";"Andina";"Ficción";;"Saqué el mapa de Lima. Tenía unas notas informativas. San Juan de Lurigancho era el distrito más poblado, tenía más de un millón de habitantes, era una franja enorme al norte de la ciudad. Una avenida grande llamada la avenida de las Galaxias desembocaba en otra llamada Fernando Wiesse. Para mí todo eso era un territorio lunar. Jamás había pensado estar allí. Recordaba el nombre de San Juan de Lurigancho en";"no"
"Alonso, Mercedes; García, Pedro A.: «Rafael Díaz-Balart y familia: Almas en subasta». Aguirrechu Núñez, Iraida: WELCOME HOME. Torturadores, asesinos y terroristas refugiados en EE.UU.. Ciudad de La Habana: Editorial Capitán San Luis, 2005.";"Aguirrechu Núñez, Iraida";"WELCOME HOME. Torturadores, asesinos y terroristas refugiados en EE.UU.";2005;"Primera edición";"No ficción";"Escrito";"Libro";"Política, economía y justicia";"Cuba";"Antillas";;;"Suele jactarse públicamente de ""la inolvidable oportunidad en la cual había intimado con Batista, a quien admiro mucho"". En cuanto a Reagan, confiesa: ""Él me hizo un republicano con su lucha contra el comunismo, particularmente en este hemisferio. Es de quien más he aprendido, a quien más admiro"". A Jeanne Kirkpatrick, ex embajadora de EE.UU. en la ONU quien se caracterizó por su quehacer reaccionario, le llama ""mi alma gemela, una mujer cuya forma de pensar y actuar está exactamente en línea conmigo"".";"no"
"Larriqueta, Daniel: La furia de Buenos Aires. Buenos Aires: Sudamericana, 2005.";"Larriqueta, Daniel";"La furia de Buenos Aires";2005;"Primera edición";"Ficción";"Escrito";"Libro";"Novela";"Argentina";"Río de la Plata";"Ficción";;"La guerra fue larga y desalentadora. Todo el esplendor de la Riviera no le calmaba el spleen, la angustia del futuro, la añoranza de un marido que más quiso cuanto más le faltó. Hasta que los aliados desembarcaron en Salerno y Bruno murió ametrallado en su uniforme de coronel. Sara lo temía, lo presentía y lo esperaba. Lo esperaba. En un rincón de los salones del Negresco, durante el invierno, había crecido su amistad con la viuda de un general";"no"
"Chacón, Joaquín-Armando: Elodie, o las puertas del sueño. México D. F.: Editorial Aldus-Conaculta, 2005.";"Chacón, Joaquín-Armando";"Elodie, o las puertas del sueño";2005;"Primera edición";"Ficción";"Escrito";"Libro";"Novela";"México";"México y Centroamérica";"Ficción";;": tan fuerte, tan sonoro, trayéndolo de tan lejos y en tal forma que, al cubrirme, pude olvidarme de él). Era su voz la que venía a mí -¿podría entenderme si digo como una voz de color azul?-, abriéndose paso y repitiendo más más dame más todavía más un poco más más un poco más y luego su rostro sin palabras porque yo no me daba cuenta que iniciaba ese quejido, convirtiéndolo en un aullido a ojos cerrados. Comprendo ahora que si ella hubiera abierto los ojos yo habría visto en ellos el espacio de la muerte.";"no"
"Silva Espinosa, Fernando: La foto de familia. Managua: Asociación Noruega de Escritores, Centro Nicaragüense de Escritores, 2005.";"Silva Espinosa, Fernando";"La foto de familia";2005;"Primera edición";"Ficción";"Escrito";"Libro";"Novela";"Nicaragua";"México y Centroamérica";"Ficción";;"! hasta perder el aliento!, ¿y qué? pues nada más. No se le saca más que el ojo con que lo contorneás gustoso, sorprendido, porque después se pasa por ahí igual, porque qué se iba hacer. -¡Idiay! y que siga el baile del negro Sambajita, que cuando más baila se agita más y no es que sean nombres que obligadamente tienen que andarse mentando, pero hace falta, al fin y al cabo, por la cuestión esa de que decir tonterías a veces pues, te divierte.";"no"
"Solares, Ignacio: La invasión. México D. F.: Alfaguara, 2005.";"Solares, Ignacio";"La invasión";2005;"Primera edición";"Ficción";"Escrito";"Libro";"Novela";"México";"México y Centroamérica";"Ficción";;"Era un viejo libro empastado en piel: Su vida de Santa Teresa de Ávila. Descubrí en las primeras páginas una frase subrayada, que nunca más olvidé: ""Más dolor causan las plegarias atendidas que las no atendidas"".";"no"
"Franz, Carlos: Alejandra Magna. Alicante: cervantesvirtual.com, 2005.";"Franz, Carlos";"Alejandra Magna";2005;"Primera edición";"Ficción";"Escrito";"Libro";"Relato";"Chile";"Chilena";"Ficción";;"hirapai trenzadas, en la choza comunal sin muros -para que circule el aire pegajoso que viene del río Pacaa Novo-. Mis queridos Wari rodean la fogata y todos comemos como se usa en la selva amazónica, con silencioso y agradecido entusiasmo (porque nunca se sabe cuándo habrá más). Pero la que más come, más que cualquiera de los nativos, es Alejandra. Mi Alejandra Magna.";"no"
"Soriano, Carlos Alberto: Ángeles caídos. San Salvador: Editorial Lis, 2005.";"Soriano, Carlos Alberto";"Ángeles caídos";2005;"Primera edición";"Ficción";"Escrito";"Libro";"Novela";"El Salvador";"México y Centroamérica";"Ficción";;"certeza de que no había guardias por ningún lado en los alrededores del pabellón de medicina. Una vez dentro, arrastraba una silla plástica hasta un costado de la cama de Anselmo y, cuando no leía algo que hubiese llevado para él, le hacía bromas, le informaba sobre los últimos sucesos, los que nadie más divulgaba y con nadie más discutía o le inyectaba dosis gloriosas de positivismo. Desde esa misma silla maltrecha comprendió que a pesar de que los fieros ataques de Anselmo eran cada vez menos frecuentes y menos prolongados, muchos otros aspectos le indicaban que no había mejora. Una tarde gris, con una lluvia soporífera sobre la ciudad, Nicolás";"no"
"Liano, Dante: El hombre de Montserrat. Barcelona: Roca Editorial de Libros, 2005.";"Liano, Dante";"El hombre de Montserrat";2005;"Fecha de escritura";"Ficción";"Escrito";"Libro";"Novela";"Guatemala";"México y Centroamérica";"Ficción";;"«Le pregunté el porqué de tanto encono. Martín, entonces, me confesó que siempre le había parecido rara la forma en que murió Ramón. Al principio, había atribuido su actitud a la desesperada negación de la muerte. Después, a la antipatía que siempre le había causado Marcos Barnoya. Pero más pasaba el tiempo y más vueltas le daba al asunto, una extraña inquietud, una especie de presentimiento enrevesado le venía al pensar en la madrugada neblinosa en que el Rambler fue encontrado en la cuneta de la carretera Roosevelt.";"medio"
"Sánchez Juliao, David: Dulce veneno moreno. Bogotá: Seix Barral, 2005.";"Sánchez Juliao, David";"Dulce veneno moreno";2005;"Primera edición";"Ficción";"Escrito";"Libro";"Novela";"Colombia";"Caribe continental";"Ficción";;"- Nos conocimos en el lugar que ella más amaba y que más le dolía: el banco. Yo había sido víctima de la mala atención de un cajero. Un muchacho inexperto y recién entrado a la institución, con claros signos de resaca en sus ojos de párpados abultados y en el temblor de manos al momento de contar los billetes. Entonces, armé";"no"
"Montero, Reinaldo: La visita de la Infanta. La Habana: Editorial Letras Cubanas, 2005.";"Montero, Reinaldo";"La visita de la Infanta";2005;"Primera edición";"Ficción";"Escrito";"Libro";"Novela";"Cuba";"Antillas";"Ficción";;", Dios, será inenarrable, porque qué de decorados en el palco real y los demás palcos, qué elegancia, Dios, hay butacas nuevas, hay alfombrado nuevo, habrá música fina, artistas refinados, refrigerio pomposo, luz abundante, Dios, hemos ido más allá del embellecimiento, si ya no sabemos qué más hacer, en qué más agradar, qué más gastar, porque no tememos gastar, que se gaste lo que se gaste, sí tememos que algo parezca deslucido, Dios, líbranos de esa posible vergüenza, porque la única ley ahora en La Habana, encantadorcísimos y respetabilísimos agasajados, es halagaros.";"no"
"Montero, Reinaldo: La visita de la Infanta. La Habana: Editorial Letras Cubanas, 2005.";"Montero, Reinaldo";"La visita de la Infanta";2005;"Primera edición";"Ficción";"Escrito";"Libro";"Novela";"Cuba";"Antillas";"Ficción";;", porque qué de decorados en el palco real y los demás palcos, qué elegancia, Dios, hay butacas nuevas, hay alfombrado nuevo, habrá música fina, artistas refinados, refrigerio pomposo, luz abundante, Dios, hemos ido más allá del embellecimiento, si ya no sabemos qué más hacer, en qué más agradar, qué más gastar, porque no tememos gastar, que se gaste lo que se gaste, sí tememos que algo parezca deslucido, Dios, líbranos de esa posible vergüenza, porque la única ley ahora en La Habana, encantadorcísimos y respetabilísimos agasajados, es halagaros.";"no"
"Carabias, Julia; Landa, Rosalva: Agua, medio ambiente y sociedad. Hacia la gestión integral de los recursos hídricos en México. México D. F.: El Colegio de México, Universidad Nacional Autónoma de México, Fundación Gonzalo Río Arronte, 2005.";"Carabias, Julia; Landa, Rosalva";"Agua, medio ambiente y sociedad. Hacia la gestión integral de los recursos hídricos en México";2005;"Primera edición";"No ficción";"Escrito";"Libro";"Ciencias y tecnología";"México";"México y Centroamérica";"Académico";;"van a distribuir los costos entre los diferentes grupos de la población y volúmenes de consumo. Al respecto, el diseño de las tarifas ofrece, cuando menos, tres opciones. La primera es que los usuarios paguen el costo real del agua que consumen, independientemente de su condición social. La segunda es que quienes más tienen y más consumen, paguen más. Y la tercera es que, con independencia de la condición socioeconómica, la segunda unidad de agua consumida cueste más que la primera, que la tercera unidad cueste más que la segunda, y así sucesivamente.";"no"
"Carabias, Julia; Landa, Rosalva: Agua, medio ambiente y sociedad. Hacia la gestión integral de los recursos hídricos en México. México D. F.: El Colegio de México, Universidad Nacional Autónoma de México, Fundación Gonzalo Río Arronte, 2005.";"Carabias, Julia; Landa, Rosalva";"Agua, medio ambiente y sociedad. Hacia la gestión integral de los recursos hídricos en México";2005;"Primera edición";"No ficción";"Escrito";"Libro";"Ciencias y tecnología";"México";"México y Centroamérica";"Académico";;"los costos entre los diferentes grupos de la población y volúmenes de consumo. Al respecto, el diseño de las tarifas ofrece, cuando menos, tres opciones. La primera es que los usuarios paguen el costo real del agua que consumen, independientemente de su condición social. La segunda es que quienes más tienen y más consumen, paguen más. Y la tercera es que, con independencia de la condición socioeconómica, la segunda unidad de agua consumida cueste más que la primera, que la tercera unidad cueste más que la segunda, y así sucesivamente.";"no"
"Meléndez, Miriam: «El auditor». Cruzando el puente. Hato Rey: Publicaciones Puertorriqueñas, 2005.";"Meléndez, Miriam";"Cruzando el puente";2005;"Primera edición";"Ficción";"Escrito";"Libro";"Teatro";"Puerto Rico";"Antillas";"Ficción";;"El auditor —Mantén aún más recta tu espalda, más equilibrada la cabeza y la mirada más directa..";"no"
"García Jaime, Luis: «Las treinta monedas». Teatro: ¡Ese hombre!, Las treinta monedas. Guayaquil: Proyecto de Rescate Editorial de la Biblioteca Municipal de Santiago de Guayaquil, 2005.";"García Jaime, Luis";"Teatro: ¡Ese hombre!, Las treinta monedas";2005;"Primera edición";"Ficción";"Escrito";"Libro";"Teatro";"Ecuador";"Andina";"Ficción";;"REY: (Elevando fuertemente la voz). Estáis equivocado, señor, aquí no hay más amo, más señor, más Majestad y más Jefe y quien decide todo que EL REY y ése, señor Cardenal (gritando). SOY YO. Reflexionad un momento que si yo he dicho e impuesto mis palabras -que siempre serán una orden- primero (pausa) a la persona que más quiero, admiro";"no"
"Paredes, Roberto: El Somozano: novela sobre un ajusticiamiento. Asunción: s. n., 2005.";"Paredes, Roberto";"El Somozano: novela sobre un ajusticiamiento";2005;"Primera edición";"Ficción";"Escrito";"Libro";"Novela";"Paraguay";"Río de la Plata";"Ficción";"Faltan las hojas 82 y 83 pero parecen estar en blanco también en el original porque no hay salto en la historia ni incoherencias. Tampoco están las 94 y 95, aquí sí se ve que falta texto pero parece ser un fallo del libro y no del escaneo porque hay dos hojas en blanco.";"El nuevo lugar ofrecía ventajas con respecto al anterior, en el sentido de que era más protegido; más amplio, cercado de bosques tupidos. Desde el punto de vista de la estadía, sin embargo, era más problemático, lo cual obligó al grupo a dividir a quienes debían estar en el cuarto de varones y en el de mujeres. La vieja edificación era amplia, pero con pocos cuartos.";"no"
"García Jaime, Luis: «¡Ese hombre!». ¡Ese hombre!; Las treinta monedas. Guayaquil: Proyecto de Rescate Editorial de la Biblioteca Municipal de Santiago de Guayaquil, 2005.";"García Jaime, Luis";"¡Ese hombre!; Las treinta monedas";2005;"Primera edición";"Ficción";"Escrito";"Libro";"Teatro";"Ecuador";"Andina";"Ficción";"El texto contiene numerosos errores ortográficos";"OSCAR: Gracias don Jorge, muchas gracias. Me da usted a la mujer más bella y más inteligente del mundo. I tú, querida Yolanda, siempre serás la más amada, la más querida, la más deseada y respetada por mí. Te amo, mi vida.";"no"
"Trelles Paz, Diego: El círculo de los escritores asesinos. Canet de Mar: Candaya, 2005.";"Trelles Paz, Diego";"El círculo de los escritores asesinos";2005;"Primera edición";"Ficción";"Escrito";"Libro";"Novela";"Perú";"Andina";"Ficción";"El origen del autor del texto es diferente al lugar de publicación del mismo";"La misma noche en que propuso matarla con crueldad, Larrita se acostaría con ella y, desde entonces, nunca más volvió a agredirla. Más adelante perdió la perspectiva, el asunto se le fue de las manos cuando quiso defenderla como poeta. Una vez casi llega a los golpes con el Chato porque éste borracho y pesado le dijo que Emilia cachaba como la poeta más grande pero escribía con los pies.";"no"
"Realidad social de las mujeres sin techo, prostitutas, ex reclusas y drogodependientes en España. Madrid: Instituto de la Mujer (Ministerio de Igualdad), 2005.";;"Realidad social de las mujeres sin techo, prostitutas, ex reclusas y drogodependientes en España";2005;"Primera edición";"No ficción";"Escrito";"Libro";"Ciencias sociales, creencias y pensamiento";"España";;;;"Más hay de interna o más tiempo, externa igual pero, que sea desde las nueve hasta las siete, las ocho y aquí me han dicho a ayudar a ver trabajo, pero...""";"no"
"Llamazares, Julio: El cielo de Madrid. Madrid: Alfaguara, 2005.";"Llamazares, Julio";"El cielo de Madrid";2005;"Primera edición";"Ficción";"Escrito";"Libro";"Novela";"España";;"Ficción";;"Fue el comienzo del fin de nuestra historia, el detonante de su descomposición. Poco a poco, a medida que los días y los meses transcurrían, Eva empezó a volverse más seria, más lacónica y opaca, lo que provocaba en mí una mayor opresión de la que ya sentía desde hacía tiempo. Me hacía sentir culpable de algo de lo que yo no lo era, pues, si bien ella tenía derecho a cambiar de vida, yo también lo tenía a no quererlo. Lo cual";"no"
"Pascual, Javier: El Cantar de Gamyl. Madrid: Caballo de Troya, 2005.";"Pascual, Javier";"El Cantar de Gamyl";2005;"Primera edición";"Ficción";"Escrito";"Libro";"Novela";"España";;"Ficción";;"Mas sucedió que Zelik avanzó más rápido de lo previsto durante varios días y llegó más allá de lo aconsejable, pues ainda sabiendo que una fracción del enemigo se encontraba en el famélico pozo de el-Abib, no resistió la tentación de acercarse al pozo de Dumus, de aguas abundantes bien que salobres, el cual se";"no"
"Figueras, Josefina: Protagonistas de la moda. Madrid: Ediciones Internacionales Universitarias, 2005.";"Figueras, Josefina";"Protagonistas de la moda";2005;"Primera edición";"No ficción";"Escrito";"Libro";"Actualidad, ocio y vida cotidiana";"España";;"Divulgación";;"- Sí, por supuesto. Cada temporada es una prueba, un juicio. Yo soy una persona poco estable, con frecuentes cambios de estado de ánimo. Para mí cada colección es un trauma, casi una enfermedad. Me preocupo mucho, porque nunca hago nada a la ligera. Si no hago más es porque no doy más de sí... pero es muy gordo que el ""New York Times"" te llame ""el caudillo de la moda española"". Todo esto me da una gran responsabilidad y también una gran vergüenza.";"no"
"Figueras, Josefina: Protagonistas de la moda. Madrid: Ediciones Internacionales Universitarias, 2005.";"Figueras, Josefina";"Protagonistas de la moda";2005;"Primera edición";"No ficción";"Escrito";"Libro";"Actualidad, ocio y vida cotidiana";"España";;"Divulgación";;". Se siguen haciendo los modelos de una forma totalmente artesanal. Ha cambiado en cuanto a la forma de pasar las colecciones y el estilo de los modelos. Los pases se han dinamizado y en la época de Dior, y también en los años 60, los modelos eran mucho más retóricos y complicados. Tenían más cortes, más drapeados. Ahora son más sencillos. La Alta Costura no varia en la forma de hacer, pero si en la construcción.";"no"
"Alonso, Francisco ... [et al.]: La justicia en el tráfico. Análisis del ciclo legislativo-ejecutivo a nivel internacional. Barcelona: Attitudes, 2005.";"Alonso, Francisco ... [et al.]";"La justicia en el tráfico. Análisis del ciclo legislativo-ejecutivo a nivel internacional";2005;"Primera edición";"No ficción";"Escrito";"Libro";"Política, economía y justicia";"España";;"Académico";;", eficacia..., las normativas y leyes vigentes en relación a los límites de velocidad, los límites de alcoholemia y el no uso del cinturón de seguridad, por ser, como hemos comentado las regulaciones cuyo incumplimiento suponen más riesgo para la seguridad vial. En este sentido, su incumplimiento, insistimos, ha de ser el más perseguido y el más sancionado. De hecho, veremos como en determinadas ocasiones, según nuestro código de circulación, las dos primeras pueden ser constitutivas de delito. Es decir, las circunstancias y consecuencias pueden sobrepasar la esfera de la infracción-sanción administrativa de tráfico y alcanzar el ámbito de ""lo penal"".";"no"
"Alonso, Francisco ... [et al.]: La justicia en el tráfico. Análisis del ciclo legislativo-ejecutivo a nivel internacional. Barcelona: Attitudes, 2005.";"Alonso, Francisco ... [et al.]";"La justicia en el tráfico. Análisis del ciclo legislativo-ejecutivo a nivel internacional";2005;"Primera edición";"No ficción";"Escrito";"Libro";"Política, economía y justicia";"España";;"Académico";;"En definitiva, el objetivo de la ley se diluye, prueba de ello es, como mencionábamos en determinado momento, que las leyes cuyo quebrantamiento suponen un mayor riesgo, deberían ser las más perseguidas y las más sancionadas. Esto no es así, ejemplos de ello, y queda para la reflexión, la última modificación de la ley de seguridad vial y/o los datos sobre infracción y sanción.";"no"
"Burgos, María: «Una gota de aceite hirviendo. Eros y Psique. Después de la carrera». Amestoy, Ignacio... [et al.] [ed.]: Teatro. Piezas breves curso Resad 2004-2005. Madrid: Editorial Fundamentos, 2005.";"Amestoy, Ignacio... [et al.] [ed.]";"Teatro. Piezas breves curso Resad 2004-2005";2005;"Primera edición";"Ficción";"Escrito";"Libro";"Teatro";"España";;"Ficción";;"23. pero qué más da cuando no duele qué más da cuando la sangre es música deslizándose y los insultos caricias qué más da hubiese querido más que esto claro hubiese querido más que esto y a la vez nada";"no"
"Fundación Española para la Ciencia y la Tecnología (FECYT): Percepción Social de la Ciencia y la Tecnología en España - 2004 . Madrid: (FECYT) Fundación Española para la Ciencia y la Tecnología, 2005.";"Fundación Española para la Ciencia y la Tecnología (FECYT)";"Percepción Social de la Ciencia y la Tecnología en España - 2004 ";2005;"Primera edición";"No ficción";"Escrito";"Libro";"Ciencias y tecnología";"España";;"Divulgación";;"También hay otra curiosidad a la hora de analizar las aportaciones negativas de la ciencia, que también son más recalcadas por los encuestados más religiosos, y es la contribución a incrementar las diferencias entre países ricos y pobres, en donde no creyentes y no católicos insisten más, pero no así los no practicantes.";"no"
"Ruedas de prensa del Consejo de Ministros del Gobierno español: Rueda de prensa del viernes 8 de septiembre de 2005. ";"Ruedas de prensa del Consejo de Ministros del Gobierno español";"Rueda de prensa del viernes 8 de septiembre de 2005";2005;"Fecha de transcripción";" ";"Oral";" ";;"España";;"Otros";;"nacional de atención a las personas discapacitadas creemos que el crecimiento de la economía debe ser también el crecimiento de la igualdad entre los ciudadanos // con una economía como la española / que está creciendo por encima de la media europea / nuestro país está en unas magníficas condiciones para cerrar un poco más la brecha social que separa a los que más tienen de los más desfavorecidos // todos los ciudadanos / también quienes menos tienen / deben verse beneficiados por el crecimiento económico del que se está beneficiando España en cuanto a las medidas que el Plan recoge para este año dos mil cinco / solamente les voy a citar algunas // por ejemplo / con el fin de garantizar el acceso a recursos y servicios de los más";"no"
"Ruedas de prensa del Consejo de Ministros del Gobierno español: Rueda de prensa del viernes 18 de noviembre de 2005. ";"Ruedas de prensa del Consejo de Ministros del Gobierno español";"Rueda de prensa del viernes 18 de noviembre de 2005";2005;"Fecha de transcripción";" ";"Oral";" ";;"España";;"Otros";;"a las perspectivas financieras en cuanto al segundo tema que me plantea / con el tema del CIS tan sólo dos cosas / primero / ya saben que no es costumbre de este Gobierno comentar las encuestas / ni cuando nos resultan favorables / ni cuando nos resultan menos favorables // segundo / yo creo que las encuestas hay que manejarlas como una herramienta de trabajo más / es un instrumento más de análisis // en este caso le diré que a dos años de las elecciones tienen el valor que tienen / que están ahí y que las analizamos junto con todos los demás datos que nos ofrece la realidad para hacer el análisis político // nada más";"no"
